Date,Total_Infections,School_Infections
01/09/2021,70,21
02/09/2021,107,22
03/09/2021,181,96
04/09/2021,116,45
05/09/2021,49,12
06/09/2021,113,58
07/09/2021,125,35
08/09/2021,69,9
09/09/2021,59,19
10/09/2021,178,43
11/09/2021,87,25
12/09/2021,51,0
13/09/2021,89,35
14/09/2021,45,1
15/09/2021,39,3
16/09/2021,91,18
17/09/2021,80,21
18/09/2021,103,41
19/09/2021,89,50
20/09/2021,41,11
21/09/2021,35,11
22/09/2021,36,6
23/09/2021,111,48
24/09/2021,45,12
25/09/2021,43,12
26/09/2021,112,66
27/09/2021,120,64
28/09/2021,120,64
29/09/2021,43,11
30/09/2021,91,31
